dteday,season,yr,mnth,hr,holiday,weekday,workingday,buyer_type,Product_Type,buyers,Location
2/1/2021,1,0,1,19,0,0,0,Member,F,50,Location 1
2/1/2021,1,0,1,20,0,0,0,Member,A,83,Location 1
2/1/2021,1,0,1,21,0,0,0,Non-Member,C,44,Location 3
2/1/2021,1,0,1,22,0,0,0,Non-Member,F,101,Location 2
2/1/2021,1,0,1,23,0,0,0,Member,C,70,Location 3
3/1/2021,1,0,1,0,0,1,1,Member,B,139,Location 3
3/1/2021,1,0,1,1,0,1,1,Member,D,84,Location 2
3/1/2021,1,0,1,4,0,1,1,Non-Member,C,95,Location 2
3/1/2021,1,0,1,5,0,1,1,Member,F,91,Location 2
3/1/2021,1,0,1,6,0,1,1,Non-Member,C,188,Location 3
3/1/2021,1,0,1,7,0,1,1,Member,C,208,Location 5
3/1/2021,1,0,1,8,0,1,1,Non-Member,C,177,Location 2
3/1/2021,1,0,1,9,0,1,1,Non-Member,E,157,Location 3
3/1/2021,1,0,1,10,0,1,1,Non-Member,D,162,Location 5
3/1/2021,1,0,1,11,0,1,1,Member,C,84,Location 3
3/1/2021,1,0,1,12,0,1,1,Member,B,56,Location 3
3/1/2021,1,0,1,13,0,1,1,Non-Member,E,55,Location 4
3/1/2021,1,0,1,14,0,1,1,Member,B,78,Location 2
3/1/2021,1,0,1,15,0,1,1,Member,C,9,Location 3
3/1/2021,1,0,1,16,0,1,1,Non-Member,C,182,Location 3
3/1/2021,1,0,1,17,0,1,1,Non-Member,C,135,Location 5
3/1/2021,1,0,1,18,0,1,1,Member,F,116,Location 2
3/1/2021,1,0,1,19,0,1,1,Member,D,21,Location 2
3/1/2021,1,0,1,20,0,1,1,Member,C,8,Location 3
3/1/2021,1,0,1,21,0,1,1,Member,E,32,Location 4
3/1/2021,1,0,1,22,0,1,1,Member,A,90,Location 3
3/1/2021,1,0,1,23,0,1,1,Member,F,334,Location 1
4/1/2021,1,0,1,0,0,2,1,Non-Member,D,164,Location 2
4/1/2021,1,0,1,1,0,2,1,Non-Member,D,160,Location 3
4/1/2021,1,0,1,2,0,2,1,Member,D,20,Location 3
4/1/2021,1,0,1,4,0,2,1,Member,F,191,Location 5
4/1/2021,1,0,1,5,0,2,1,Member,D,13,Location 2
4/1/2021,1,0,1,6,0,2,1,Member,A,10,Location 5
4/1/2021,1,0,1,7,0,2,1,Member,C,244,Location 3
4/1/2021,1,0,1,8,0,2,1,Member,D,156,Location 5
4/1/2021,1,0,1,9,0,2,1,Member,B,62,Location 3
4/1/2021,1,0,1,10,0,2,1,Member,E,146,Location 5
4/1/2021,1,0,1,11,0,2,1,Member,D,1,Location 2
4/1/2021,1,0,1,12,0,2,1,Member,D,43,Location 3
4/1/2021,1,0,1,13,0,2,1,Member,C,11,Location 4
4/1/2021,1,0,1,14,0,2,1,Member,C,17,Location 3
4/1/2021,1,0,1,15,0,2,1,Member,D,179,Location 2
4/1/2021,1,0,1,16,0,2,1,Non-Member,F,21,Location 4
4/1/2021,1,0,1,17,0,2,1,Non-Member,B,266,Location 1
4/1/2021,1,0,1,18,0,2,1,Member,D,19,Location 3
4/1/2021,1,0,1,19,0,2,1,Member,C,14,Location 5
4/1/2021,1,0,1,20,0,2,1,Member,D,58,Location 2
4/1/2021,1,0,1,21,0,2,1,Member,D,223,Location 3
4/1/2021,1,0,1,22,0,2,1,Member,D,32,Location 3
4/1/2021,1,0,1,23,0,2,1,Non-Member,B,38,Location 4
5/1/2021,1,0,1,0,0,3,1,Member,F,133,Location 5
5/1/2021,1,0,1,1,0,3,1,Member,E,90,Location 4
5/1/2021,1,0,1,2,0,3,1,Member,B,209,Location 5
5/1/2021,1,0,1,4,0,3,1,Member,B,128,Location 5
5/1/2021,1,0,1,5,0,3,1,Member,D,59,Location 3
5/1/2021,1,0,1,6,0,3,1,Member,F,93,Location 4
5/1/2021,1,0,1,7,0,3,1,Member,C,5,Location 4
5/1/2021,1,0,1,8,0,3,1,Member,D,341,Location 1
5/1/2021,1,0,1,9,0,3,1,Non-Member,B,350,Location 1
5/1/2021,1,0,1,10,0,3,1,Non-Member,F,169,Location 5
5/1/2021,1,0,1,11,0,3,1,Non-Member,F,55,Location 1
5/1/2021,1,0,1,12,0,3,1,Non-Member,E,65,Location 4
5/1/2021,1,0,1,13,0,3,1,Non-Member,D,154,Location 2
5/1/2021,1,0,1,14,0,3,1,Non-Member,D,61,Location 1
5/1/2021,1,0,1,15,0,3,1,Member,D,109,Location 2
5/1/2021,1,0,1,16,0,3,1,Member,A,207,Location 5
5/1/2021,1,0,1,17,0,3,1,Member,E,6,Location 4
5/1/2021,1,0,1,18,0,3,1,Non-Member,F,97,Location 4
5/1/2021,1,0,1,19,0,3,1,Member,E,52,Location 5
5/1/2021,1,0,1,20,0,3,1,Member,C,110,Location 5
5/1/2021,1,0,1,21,0,3,1,Member,A,202,Location 3
5/1/2021,1,0,1,22,0,3,1,Non-Member,B,95,Location 4
5/1/2021,1,0,1,23,0,3,1,Member,C,57,Location 3
6/1/2021,1,0,1,0,0,4,1,Member,B,241,Location 2
6/1/2021,1,0,1,1,0,4,1,Member,C,10,Location 4
6/1/2021,1,0,1,2,0,4,1,Member,F,38,Location 5
6/1/2021,1,0,1,4,0,4,1,Member,D,179,Location 3
6/1/2021,1,0,1,5,0,4,1,Non-Member,C,258,Location 1
6/1/2021,1,0,1,6,0,4,1,Member,F,94,Location 2
6/1/2021,1,0,1,7,0,4,1,Non-Member,D,190,Location 3
6/1/2021,1,0,1,8,0,4,1,Non-Member,F,9,Location 1
6/1/2021,1,0,1,9,0,4,1,Member,F,2,Location 3
6/1/2021,1,0,1,10,0,4,1,Member,C,140,Location 4
6/1/2021,1,0,1,11,0,4,1,Member,E,78,Location 3
6/1/2021,1,0,1,12,0,4,1,Member,D,224,Location 3
6/1/2021,1,0,1,13,0,4,1,Non-Member,D,175,Location 3
6/1/2021,1,0,1,14,0,4,1,Member,B,232,Location 5
6/1/2021,1,0,1,15,0,4,1,Member,D,220,Location 5
6/1/2021,1,0,1,16,0,4,1,Non-Member,D,81,Location 5
6/1/2021,1,0,1,17,0,4,1,Member,A,219,Location 1
6/1/2021,1,0,1,18,0,4,1,Non-Member,A,211,Location 4
6/1/2021,1,0,1,19,0,4,1,Non-Member,D,93,Location 5
6/1/2021,1,0,1,20,0,4,1,Member,F,63,Location 1
6/1/2021,1,0,1,21,0,4,1,Member,D,134,Location 2
6/1/2021,1,0,1,22,0,4,1,Member,C,198,Location 4
6/1/2021,1,0,1,23,0,4,1,Non-Member,C,170,Location 3
7/1/2021,1,0,1,0,0,5,1,Member,D,258,Location 2
7/1/2021,1,0,1,1,0,5,1,Member,C,191,Location 5
7/1/2021,1,0,1,2,0,5,1,Member,E,237,Location 1
7/1/2021,1,0,1,4,0,5,1,Non-Member,D,22,Location 1
7/1/2021,1,0,1,5,0,5,1,Member,C,115,Location 3
7/1/2021,1,0,1,6,0,5,1,Member,D,67,Location 4
7/1/2021,1,0,1,7,0,5,1,Non-Member,D,13,Location 4
7/1/2021,1,0,1,8,0,5,1,Member,C,136,Location 5
7/1/2021,1,0,1,9,0,5,1,Non-Member,D,117,Location 1
7/1/2021,1,0,1,10,0,5,1,Member,B,94,Location 5
7/1/2021,1,0,1,11,0,5,1,Non-Member,F,190,Location 4
7/1/2021,1,0,1,12,0,5,1,Non-Member,D,149,Location 4
7/1/2021,1,0,1,13,0,5,1,Member,C,238,Location 1
7/1/2021,1,0,1,14,0,5,1,Non-Member,F,26,Location 4
7/1/2021,1,0,1,15,0,5,1,Non-Member,D,16,Location 4
7/1/2021,1,0,1,16,0,5,1,Member,F,203,Location 3
7/1/2021,1,0,1,17,0,5,1,Member,E,224,Location 3
7/1/2021,1,0,1,18,0,5,1,Member,C,98,Location 4
7/1/2021,1,0,1,19,0,5,1,Non-Member,D,40,Location 4
7/1/2021,1,0,1,20,0,5,1,Member,F,273,Location 4
7/1/2021,1,0,1,21,0,5,1,Member,D,198,Location 2
7/1/2021,1,0,1,22,0,5,1,Non-Member,D,58,Location 5
7/1/2021,1,0,1,23,0,5,1,Member,D,22,Location 2
8/1/2021,1,0,1,0,0,6,0,Member,D,98,Location 2
8/1/2021,1,0,1,1,0,6,0,Non-Member,D,40,Location 5
8/1/2021,1,0,1,2,0,6,0,Non-Member,A,60,Location 4
8/1/2021,1,0,1,3,0,6,0,Member,B,143,Location 2
8/1/2021,1,0,1,4,0,6,0,Member,D,266,Location 1
8/1/2021,1,0,1,5,0,6,0,Non-Member,B,230,Location 3
8/1/2021,1,0,1,6,0,6,0,Member,D,45,Location 3
8/1/2021,1,0,1,7,0,6,0,Member,B,231,Location 5
8/1/2021,1,0,1,8,0,6,0,Member,A,162,Location 2
8/1/2021,1,0,1,9,0,6,0,Non-Member,D,258,Location 5
8/1/2021,1,0,1,10,0,6,0,Member,E,215,Location 3
8/1/2021,1,0,1,11,0,6,0,Non-Member,F,106,Location 5
8/1/2021,1,0,1,12,0,6,0,Member,F,19,Location 1
8/1/2021,1,0,1,13,0,6,0,Non-Member,B,243,Location 2
8/1/2021,1,0,1,14,0,6,0,Member,D,170,Location 1
8/1/2021,1,0,1,15,0,6,0,Member,C,18,Location 3
8/1/2021,1,0,1,16,0,6,0,Member,D,22,Location 4
8/1/2021,1,0,1,17,0,6,0,Member,C,168,Location 5
8/1/2021,1,0,1,18,0,6,0,Non-Member,D,40,Location 4
8/1/2021,1,0,1,19,0,6,0,Member,C,26,Location 2
8/1/2021,1,0,1,20,0,6,0,Member,F,115,Location 4
8/1/2021,1,0,1,21,0,6,0,Member,F,30,Location 2
8/1/2021,1,0,1,22,0,6,0,Non-Member,C,17,Location 2
8/1/2021,1,0,1,23,0,6,0,Member,F,213,Location 5
9/1/2021,1,0,1,0,0,0,0,Member,F,3,Location 4
9/1/2021,1,0,1,1,0,0,0,Member,E,15,Location 2
9/1/2021,1,0,1,2,0,0,0,Member,D,61,Location 2
9/1/2021,1,0,1,3,0,0,0,Member,E,64,Location 1
9/1/2021,1,0,1,4,0,0,0,Non-Member,E,111,Location 1
9/1/2021,1,0,1,5,0,0,0,Member,B,18,Location 2
9/1/2021,1,0,1,6,0,0,0,Member,C,113,Location 1
9/1/2021,1,0,1,7,0,0,0,Member,B,127,Location 1
9/1/2021,1,0,1,8,0,0,0,Member,F,118,Location 1
9/1/2021,1,0,1,9,0,0,0,Member,D,127,Location 5
9/1/2021,1,0,1,10,0,0,0,Member,C,79,Location 4
9/1/2021,1,0,1,11,0,0,0,Member,F,7,Location 4
9/1/2021,1,0,1,12,0,0,0,Non-Member,D,121,Location 4
9/1/2021,1,0,1,13,0,0,0,Non-Member,A,109,Location 2
9/1/2021,1,0,1,14,0,0,0,Member,C,48,Location 5
9/1/2021,1,0,1,15,0,0,0,Non-Member,D,39,Location 5
9/1/2021,1,0,1,16,0,0,0,Non-Member,B,10,Location 4
9/1/2021,1,0,1,17,0,0,0,Member,A,113,Location 2
9/1/2021,1,0,1,18,0,0,0,Member,D,40,Location 1
9/1/2021,1,0,1,19,0,0,0,Member,D,32,Location 5
9/1/2021,1,0,1,20,0,0,0,Non-Member,A,109,Location 3
9/1/2021,1,0,1,21,0,0,0,Non-Member,C,73,Location 3
9/1/2021,1,0,1,22,0,0,0,Member,B,51,Location 3
9/1/2021,1,0,1,23,0,0,0,Member,C,108,Location 2
10/1/2021,1,0,1,0,0,1,1,Member,E,140,Location 3
10/1/2021,1,0,1,1,0,1,1,Member,B,15,Location 2
10/1/2021,1,0,1,2,0,1,1,Member,D,25,Location 2
10/1/2021,1,0,1,3,0,1,1,Member,E,109,Location 5
10/1/2021,1,0,1,4,0,1,1,Member,D,74,Location 3
10/1/2021,1,0,1,5,0,1,1,Member,D,46,Location 4
10/1/2021,1,0,1,6,0,1,1,Member,D,206,Location 3
10/1/2021,1,0,1,7,0,1,1,Member,D,111,Location 3
10/1/2021,1,0,1,8,0,1,1,Non-Member,C,236,Location 3
10/1/2021,1,0,1,9,0,1,1,Member,C,242,Location 1
10/1/2021,1,0,1,10,0,1,1,Non-Member,C,52,Location 3
10/1/2021,1,0,1,11,0,1,1,Non-Member,B,127,Location 2
10/1/2021,1,0,1,12,0,1,1,Member,F,44,Location 4
10/1/2021,1,0,1,13,0,1,1,Non-Member,A,50,Location 5
10/1/2021,1,0,1,14,0,1,1,Non-Member,C,212,Location 3
10/1/2021,1,0,1,15,0,1,1,Member,C,316,Location 1
10/1/2021,1,0,1,16,0,1,1,Member,E,223,Location 3
10/1/2021,1,0,1,17,0,1,1,Non-Member,F,5,Location 4
10/1/2021,1,0,1,18,0,1,1,Non-Member,F,156,Location 2
10/1/2021,1,0,1,19,0,1,1,Non-Member,C,73,Location 4
10/1/2021,1,0,1,20,0,1,1,Member,D,354,Location 1
10/1/2021,1,0,1,21,0,1,1,Member,A,300,Location 1
10/1/2021,1,0,1,22,0,1,1,Member,C,187,Location 3
10/1/2021,1,0,1,23,0,1,1,Member,A,177,Location 1
11/1/2021,1,0,1,0,0,2,1,Member,C,126,Location 5
11/1/2021,1,0,1,1,0,2,1,Member,F,84,Location 3
11/1/2021,1,0,1,2,0,2,1,Non-Member,D,118,Location 2
11/1/2021,1,0,1,5,0,2,1,Non-Member,F,29,Location 3
11/1/2021,1,0,1,6,0,2,1,Member,F,10,Location 4
11/1/2021,1,0,1,7,0,2,1,Non-Member,F,91,Location 5
11/1/2021,1,0,1,8,0,2,1,Member,D,142,Location 3
11/1/2021,1,0,1,9,0,2,1,Member,F,205,Location 1
11/1/2021,1,0,1,10,0,2,1,Member,D,39,Location 4
11/1/2021,1,0,1,11,0,2,1,Member,A,28,Location 2
11/1/2021,1,0,1,12,0,2,1,Member,A,13,Location 2
11/1/2021,1,0,1,13,0,2,1,Member,D,39,Location 5
11/1/2021,1,0,1,14,0,2,1,Member,D,126,Location 2
11/1/2021,1,0,1,15,0,2,1,Member,F,14,Location 1
11/1/2021,1,0,1,16,0,2,1,Member,D,97,Location 4
11/1/2021,1,0,1,17,0,2,1,Non-Member,C,70,Location 4
11/1/2021,1,0,1,18,0,2,1,Non-Member,C,79,Location 3
11/1/2021,1,0,1,19,0,2,1,Member,B,155,Location 1
11/1/2021,1,0,1,20,0,2,1,Member,C,56,Location 4
11/1/2021,1,0,1,21,0,2,1,Non-Member,D,89,Location 3
11/1/2021,1,0,1,22,0,2,1,Non-Member,B,331,Location 1
11/1/2021,1,0,1,23,0,2,1,Member,E,84,Location 2
12/1/2021,1,0,1,0,0,3,1,Non-Member,A,130,Location 2
12/1/2021,1,0,1,1,0,3,1,Member,D,81,Location 4
12/1/2021,1,0,1,2,0,3,1,Non-Member,B,1,Location 3
12/1/2021,1,0,1,5,0,3,1,Non-Member,F,166,Location 2
12/1/2021,1,0,1,6,0,3,1,Member,F,217,Location 3
12/1/2021,1,0,1,7,0,3,1,Member,F,188,Location 3
12/1/2021,1,0,1,8,0,3,1,Member,F,22,Location 4
12/1/2021,1,0,1,9,0,3,1,Member,C,205,Location 5
12/1/2021,1,0,1,10,0,3,1,Member,F,33,Location 3
12/1/2021,1,0,1,11,0,3,1,Member,C,120,Location 3
12/1/2021,1,0,1,12,0,3,1,Member,D,206,Location 5
12/1/2021,1,0,1,13,0,3,1,Member,D,84,Location 4
12/1/2021,1,0,1,14,0,3,1,Member,E,115,Location 2
12/1/2021,1,0,1,15,0,3,1,Member,B,64,Location 5
12/1/2021,1,0,1,16,0,3,1,Member,A,29,Location 4
12/1/2021,1,0,1,17,0,3,1,Member,F,126,Location 5
12/1/2021,1,0,1,18,0,3,1,Member,D,196,Location 5
12/1/2021,1,0,1,19,0,3,1,Non-Member,D,63,Location 2
12/1/2021,1,0,1,20,0,3,1,Non-Member,A,5,Location 4
12/1/2021,1,0,1,21,0,3,1,Non-Member,F,40,Location 4
12/1/2021,1,0,1,22,0,3,1,Member,F,203,Location 5
12/1/2021,1,0,1,23,0,3,1,Member,F,122,Location 2
13/1/2021,1,0,1,0,0,4,1,Member,C,227,Location 3
13/1/2021,1,0,1,1,0,4,1,Member,E,200,Location 2
13/1/2021,1,0,1,2,0,4,1,Member,D,149,Location 5
13/1/2021,1,0,1,3,0,4,1,Member,D,204,Location 5
13/1/2021,1,0,1,4,0,4,1,Non-Member,A,221,Location 2
13/1/2021,1,0,1,5,0,4,1,Non-Member,C,275,Location 4
13/1/2021,1,0,1,6,0,4,1,Non-Member,A,224,Location 2
13/1/2021,1,0,1,7,0,4,1,Member,C,166,Location 1
13/1/2021,1,0,1,8,0,4,1,Member,A,146,Location 4
13/1/2021,1,0,1,9,0,4,1,Member,C,187,Location 5
13/1/2021,1,0,1,10,0,4,1,Non-Member,C,89,Location 1
13/1/2021,1,0,1,11,0,4,1,Member,A,19,Location 3
13/1/2021,1,0,1,12,0,4,1,Member,D,34,Location 2
13/1/2021,1,0,1,13,0,4,1,Member,F,124,Location 3
13/1/2021,1,0,1,14,0,4,1,Member,D,196,Location 5
13/1/2021,1,0,1,15,0,4,1,Non-Member,A,176,Location 4
13/1/2021,1,0,1,16,0,4,1,Member,C,84,Location 4
13/1/2021,1,0,1,17,0,4,1,Member,B,78,Location 4
13/1/2021,1,0,1,18,0,4,1,Member,C,253,Location 2
13/1/2021,1,0,1,19,0,4,1,Member,D,39,Location 1
13/1/2021,1,0,1,20,0,4,1,Member,F,199,Location 4
13/1/2021,1,0,1,21,0,4,1,Member,D,27,Location 5
13/1/2021,1,0,1,22,0,4,1,Non-Member,C,151,Location 3
13/1/2021,1,0,1,23,0,4,1,Non-Member,F,112,Location 3
14/1/2021,1,0,1,0,0,5,1,Non-Member,D,215,Location 4
14/1/2021,1,0,1,1,0,5,1,Member,D,211,Location 1
14/1/2021,1,0,1,2,0,5,1,Member,F,215,Location 1
14/1/2021,1,0,1,3,0,5,1,Non-Member,E,62,Location 1
14/1/2021,1,0,1,5,0,5,1,Member,D,62,Location 3
14/1/2021,1,0,1,6,0,5,1,Member,F,104,Location 2
14/1/2021,1,0,1,7,0,5,1,Member,F,259,Location 3
14/1/2021,1,0,1,8,0,5,1,Member,F,69,Location 1
14/1/2021,1,0,1,9,0,5,1,Non-Member,F,174,Location 1
14/1/2021,1,0,1,10,0,5,1,Member,D,232,Location 3
14/1/2021,1,0,1,11,0,5,1,Member,F,1,Location 4
14/1/2021,1,0,1,12,0,5,1,Member,D,42,Location 1
14/1/2021,1,0,1,13,0,5,1,Non-Member,D,164,Location 4
14/1/2021,1,0,1,14,0,5,1,Non-Member,F,220,Location 4
14/1/2021,1,0,1,15,0,5,1,Member,D,20,Location 4
14/1/2021,1,0,1,16,0,5,1,Member,C,154,Location 4
14/1/2021,1,0,1,17,0,5,1,Non-Member,F,170,Location 3
14/1/2021,1,0,1,18,0,5,1,Member,B,54,Location 2
14/1/2021,1,0,1,19,0,5,1,Member,C,156,Location 5
14/1/2021,1,0,1,20,0,5,1,Member,C,177,Location 1
14/1/2021,1,0,1,21,0,5,1,Member,D,157,Location 1
14/1/2021,1,0,1,22,0,5,1,Non-Member,D,146,Location 5
14/1/2021,1,0,1,23,0,5,1,Member,E,232,Location 4
15/1/2021,1,0,1,0,0,6,0,Member,D,63,Location 2
15/1/2021,1,0,1,1,0,6,0,Member,F,15,Location 3
15/1/2021,1,0,1,2,0,6,0,Member,D,163,Location 4
15/1/2021,1,0,1,3,0,6,0,Non-Member,C,96,Location 5
15/1/2021,1,0,1,4,0,6,0,Non-Member,D,168,Location 1
15/1/2021,1,0,1,5,0,6,0,Non-Member,A,20,Location 1
15/1/2021,1,0,1,6,0,6,0,Member,F,298,Location 3
15/1/2021,1,0,1,7,0,6,0,Member,F,246,Location 1
15/1/2021,1,0,1,8,0,6,0,Member,A,215,Location 1
15/1/2021,1,0,1,9,0,6,0,Member,F,213,Location 1
15/1/2021,1,0,1,10,0,6,0,Member,A,102,Location 3
15/1/2021,1,0,1,11,0,6,0,Non-Member,C,293,Location 3
15/1/2021,1,0,1,12,0,6,0,Member,F,35,Location 4
15/1/2021,1,0,1,13,0,6,0,Member,F,31,Location 2
15/1/2021,1,0,1,14,0,6,0,Member,B,245,Location 4
15/1/2021,1,0,1,15,0,6,0,Non-Member,A,51,Location 3
15/1/2021,1,0,1,16,0,6,0,Non-Member,D,38,Location 4
15/1/2021,1,0,1,17,0,6,0,Member,C,25,Location 3
15/1/2021,1,0,1,18,0,6,0,Member,D,65,Location 4
15/1/2021,1,0,1,19,0,6,0,Non-Member,C,52,Location 4
15/1/2021,1,0,1,20,0,6,0,Member,F,182,Location 1
15/1/2021,1,0,1,21,0,6,0,Member,C,218,Location 1
15/1/2021,1,0,1,22,0,6,0,Non-Member,D,237,Location 2
15/1/2021,1,0,1,23,0,6,0,Non-Member,B,92,Location 5
16/1/2021,1,0,1,0,0,0,0,Non-Member,E,87,Location 5
16/1/2021,1,0,1,1,0,0,0,Non-Member,C,76,Location 4
16/1/2021,1,0,1,2,0,0,0,Member,D,12,Location 1
16/1/2021,1,0,1,3,0,0,0,Non-Member,F,52,Location 3
16/1/2021,1,0,1,4,0,0,0,Member,A,25,Location 1
16/1/2021,1,0,1,5,0,0,0,Member,D,8,Location 3
16/1/2021,1,0,1,6,0,0,0,Member,D,93,Location 4
16/1/2021,1,0,1,7,0,0,0,Member,C,30,Location 2
16/1/2021,1,0,1,8,0,0,0,Non-Member,B,100,Location 4
16/1/2021,1,0,1,9,0,0,0,Non-Member,D,88,Location 2
16/1/2021,1,0,1,10,0,0,0,Member,D,30,Location 4
16/1/2021,1,0,1,11,0,0,0,Member,C,98,Location 3
16/1/2021,1,0,1,12,0,0,0,Non-Member,D,39,Location 5
16/1/2021,1,0,1,13,0,0,0,Member,E,75,Location 5
16/1/2021,1,0,1,14,0,0,0,Member,E,41,Location 3
16/1/2021,1,0,1,15,0,0,0,Non-Member,A,43,Location 1
16/1/2021,1,0,1,16,0,0,0,Member,F,117,Location 2
16/1/2021,1,0,1,17,0,0,0,Member,D,30,Location 1
16/1/2021,1,0,1,18,0,0,0,Member,A,72,Location 4
16/1/2021,1,0,1,19,0,0,0,Member,D,21,Location 3
16/1/2021,1,0,1,20,0,0,0,Member,C,126,Location 3
16/1/2021,1,0,1,21,0,0,0,Non-Member,E,15,Location 4
16/1/2021,1,0,1,22,0,0,0,Member,A,68,Location 1
16/1/2021,1,0,1,23,0,0,0,Member,C,107,Location 1
17/1/2021,1,0,1,0,1,1,0,Member,F,120,Location 2
17/1/2021,1,0,1,1,1,1,0,Member,E,10,Location 4
17/1/2021,1,0,1,2,1,1,0,Member,D,178,Location 2
17/1/2021,1,0,1,3,1,1,0,Non-Member,D,122,Location 2
17/1/2021,1,0,1,4,1,1,0,Non-Member,D,25,Location 4
17/1/2021,1,0,1,5,1,1,0,Member,C,102,Location 2
17/1/2021,1,0,1,6,1,1,0,Non-Member,B,63,Location 4
17/1/2021,1,0,1,7,1,1,0,Member,B,180,Location 5
17/1/2021,1,0,1,8,1,1,0,Member,D,179,Location 5
17/1/2021,1,0,1,9,1,1,0,Member,C,181,Location 3
17/1/2021,1,0,1,10,1,1,0,Non-Member,C,45,Location 1
17/1/2021,1,0,1,11,1,1,0,Member,C,129,Location 5
17/1/2021,1,0,1,12,1,1,0,Non-Member,F,157,Location 1
17/1/2021,1,0,1,13,1,1,0,Member,F,118,Location 2
17/1/2021,1,0,1,14,1,1,0,Member,C,320,Location 1
17/1/2021,1,0,1,15,1,1,0,Member,A,163,Location 5
17/1/2021,1,0,1,16,1,1,0,Non-Member,D,137,Location 2
17/1/2021,1,0,1,17,1,1,0,Member,C,314,Location 1
17/1/2021,1,0,1,18,1,1,0,Non-Member,A,98,Location 4
17/1/2021,1,0,1,19,1,1,0,Member,D,105,Location 1
17/1/2021,1,0,1,20,1,1,0,Member,F,21,Location 4
17/1/2021,1,0,1,21,1,1,0,Member,D,140,Location 2
17/1/2021,1,0,1,22,1,1,0,Member,F,174,Location 2
17/1/2021,1,0,1,23,1,1,0,Member,D,122,Location 2
18/1/2021,1,0,1,12,0,2,1,Member,A,27,Location 5
18/1/2021,1,0,1,13,0,2,1,Non-Member,D,170,Location 1
18/1/2021,1,0,1,14,0,2,1,Non-Member,C,5,Location 4
18/1/2021,1,0,1,15,0,2,1,Member,B,99,Location 2
18/1/2021,1,0,1,16,0,2,1,Member,F,58,Location 4
18/1/2021,1,0,1,17,0,2,1,Member,D,25,Location 3
18/1/2021,1,0,1,18,0,2,1,Member,F,192,Location 3
18/1/2021,1,0,1,19,0,2,1,Member,A,160,Location 5
18/1/2021,1,0,1,20,0,2,1,Member,D,50,Location 4
18/1/2021,1,0,1,21,0,2,1,Member,F,41,Location 5
18/1/2021,1,0,1,22,0,2,1,Non-Member,A,82,Location 4
18/1/2021,1,0,1,23,0,2,1,Member,F,91,Location 4
19/1/2021,1,0,1,0,0,3,1,Member,B,160,Location 5
